datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
1/3/18,26,23,2,306,Milk,Pregnant,34822,1450,0,0,0,0,0,0,11.1,10.3,0,0,209,192,0,0,144,17,10,63,44,24,631,0
1/3/18,86,6,1,230,Milk,Pregnant,37510,1562,0,0,0,0,0,0,9.2,9.1,0,0,199,191,0,0,148,12,-1,-1,-1,-1,-1,0
1/3/18,2714,6,1,228,Milk,Pregnant,45949,1914,0,0,0,0,0,0,9.8,8.9,0,0,189,166,0,0,166,26,11,54,41,35,589,0
2/3/18,26,23,2,307,Milk,Pregnant,34464,1436,0,0,0,0,0,0,10.7,10.3,0,0,199,190,0,0,135,12,9,95,59,16,859,0
2/3/18,86,6,1,231,Milk,Pregnant,33559,1398,0,0,0,0,0,0,9.2,9.1,0,0,206,184,0,0,133,6,-1,-1,-1,-1,-1,0
2/3/18,2714,6,1,229,Milk,Pregnant,44946,1872,0,0,0,0,0,0,9.3,8.9,0,0,188,166,0,0,176,29,-1,-1,-1,-1,-1,0
3/3/18,26,23,2,308,Milk,Pregnant,34738,1447,0,0,0,0,0,0,11.2,10.4,0,0,197,190,0,0,149,46,10,82,57,20,820,0
3/3/18,86,6,1,232,Milk,Pregnant,35317,1471,0,0,0,0,0,0,9.3,9.1,0,0,203,185,0,0,106,-8,-1,-1,-1,-1,-1,0
3/3/18,2714,6,1,230,Milk,Pregnant,41315,1721,0,0,0,0,0,0,9.4,8.9,0,0,190,168,0,0,197,26,-1,-1,-1,-1,-1,0
4/3/18,26,23,2,309,Milk,Pregnant,35190,1466,0,0,0,0,0,0,10.8,10.4,0,0,204,192,0,0,161,29,8,101,56,18,811,0
4/3/18,86,6,1,233,Milk,Pregnant,35537,1480,0,0,0,0,0,0,9.1,9,0,0,205,187,0,0,169,28,-1,-1,-1,-1,-1,0
