Date,AvgBGTemp__P4,THI_P4,T (T 0432) *C L2,T (T 0439) *C L2,AvgTemp_P4,T (TH 3090) *C L2,T (TH 3091) *C L2,AvgRH_P4,RH (TH 3090) % L2,RH (TH 3091) % L2,AvgDPTemp_P4,DP (TH 3090) *C L2,DP (TH 3091) *C L2,AvgBGTemp_P13,THI_P13,T (T 0433) *C L2,T (T 0434) *C L2,AvgTemp_P13,T (TH 3096) *C L2,T (TH 3097) *C L2,AvgRH_P13,RH (TH 3096) % L2,RH (TH 3097) % L2,AvgDPTemp_P13,DP (TH 3096) *C L2,DP (TH 3097) *C L2,AvgBGTemp_P2,THI_P2,T (T 0435) *C L2,T (T 0438) *C L2,AvgTemp_P2,T (TH 3098) *C L2,T (TH 3099) *C L2,AvgRH_P2,RH (TH 3098) % L2,RH (TH 3099) % L2,AvgDPTemp_P2,DP (TH 3098) *C L2,DP (TH 3099) *C L2,AvgBGTemp_OUT,THI__OUT,T (T 0431) *C L1,T (T 0436) *C L1 ,AvgTemp_OUT,T (TH 3093) *C L1 ,T (TH 3094) *C L2 ,AvgRH_OUT,RH (TH 3093) % L1 ,RH (TH 3094) % L2 ,AvgDPTemp_OUT,DP (TH 3093) *C L1 ,DP (TH 3094) *C L2 
07/04/18 08:00:00,18.85,65.3,18.75,18.94,18.75,18.72,18.77,90.00,89.60,90.40,17.10,17.00,17.19,17.85,64.0,17.82,17.87,17.97,17.94,17.99,90.70,90.80,90.60,16.44,16.43,16.45,18.06,64.2,18.06,,18.08,18.08,,89.40,89.40,,16.33,16.33,,18.49,64.7,18.49,,18.56,,18.56,83.10,,83.10,15.65,,15.65
07/04/18 08:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:30:00,18.90,64.9,18.84,18.96,18.49,18.41,18.56,90.85,91.00,90.70,16.99,16.94,17.03,17.92,63.7,17.89,17.94,17.76,17.72,17.80,91.35,91.40,91.30,16.36,16.33,16.38,18.15,64.4,18.15,,18.22,18.22,,89.40,89.40,,16.47,16.47,,18.63,64.9,18.63,,18.65,,18.65,83.70,,83.70,15.86,,15.86
07/04/18 08:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/18 08:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
