id,cow_id,activity,model,observation_time,server_time,local_id
174834,328,0,-50,2018-07-18 15:14:19+01,2018-07-18 23:10:08.12+01,26
174868,328,0,-76,2018-07-18 16:44:19+01,2018-07-18 23:20:06.21+01,26
174869,328,0,-91,2018-07-18 18:14:24+01,2018-07-18 23:20:06.21+01,26
174907,328,0,-94,2018-07-18 19:44:24+01,2018-07-18 23:30:06.23+01,26
174938,328,0,-85,2018-07-18 23:15:20+01,2018-07-18 23:40:07.98+01,26
175229,328,8,-68,2018-07-19 00:45:20+01,2018-07-19 00:50:06.21+01,26
175495,328,148,-60,2018-07-19 02:15:21+01,2018-07-19 02:20:06.18+01,26
175786,328,36,-54,2018-07-19 03:45:22+01,2018-07-19 04:05:07.97+01,26
176040,328,4,-49,2018-07-19 05:15:23+01,2018-07-19 05:25:05.79+01,26
176304,328,106,-38,2018-07-19 06:45:24+01,2018-07-19 06:55:06.47+01,26
176565,328,24,-60,2018-07-19 08:15:26+01,2018-07-19 08:25:06.03+01,26
176830,328,12,-89,2018-07-19 09:45:27+01,2018-07-19 09:55:06.48+01,26
177086,328,2,-100,2018-07-19 11:15:28+01,2018-07-19 11:25:06.76+01,26
177353,328,6,-90,2018-07-19 12:45:30+01,2018-07-19 12:55:06.38+01,26
177622,328,1,-58,2018-07-19 14:15:31+01,2018-07-19 14:25:06.01+01,26
177881,328,22,-24,2018-07-19 15:45:31+01,2018-07-19 15:55:06.5+01,26
178141,328,80,-34,2018-07-19 17:15:31+01,2018-07-19 17:25:05.95+01,26
178426,328,6,-57,2018-07-19 18:45:32+01,2018-07-19 18:55:06.71+01,26
178701,328,34,-61,2018-07-19 20:15:33+01,2018-07-19 20:25:06.32+01,26
178967,328,24,-54,2018-07-19 21:45:34+01,2018-07-19 21:55:06.6+01,26
179233,328,22,-42,2018-07-19 23:15:35+01,2018-07-19 23:25:06.78+01,26
179497,328,3,-24,2018-07-20 00:45:36+01,2018-07-20 00:55:06.35+01,26
179763,328,81,-21,2018-07-20 02:15:37+01,2018-07-20 02:25:06.1+01,26
180039,328,69,-24,2018-07-20 03:45:37+01,2018-07-20 04:05:06.66+01,26
180292,328,27,-27,2018-07-20 05:15:39+01,2018-07-20 05:25:07.35+01,26
180561,328,47,-23,2018-07-20 06:45:39+01,2018-07-20 06:55:06.83+01,26
180824,328,24,-49,2018-07-20 08:15:40+01,2018-07-20 08:25:05.94+01,26
181088,328,4,-86,2018-07-20 09:45:40+01,2018-07-20 09:55:06.77+01,26
181353,328,23,-100,2018-07-20 11:15:41+01,2018-07-20 11:25:06.71+01,26
181620,328,7,-88,2018-07-20 12:45:44+01,2018-07-20 12:55:06.93+01,26
181890,328,16,-56,2018-07-20 14:15:46+01,2018-07-20 14:25:06.71+01,26
182149,328,35,-13,2018-07-20 15:45:48+01,2018-07-20 15:55:06.1+01,26
182417,328,11,-24,2018-07-20 17:15:49+01,2018-07-20 17:25:06.28+01,26
182675,328,40,-45,2018-07-20 18:45:48+01,2018-07-20 18:55:06.33+01,26
182952,328,46,-51,2018-07-20 20:15:49+01,2018-07-20 20:25:06.39+01,26
183220,328,36,-48,2018-07-20 21:45:50+01,2018-07-20 21:55:07.75+01,26
183493,328,41,-27,2018-07-20 23:15:50+01,2018-07-20 23:25:06.31+01,26
183772,328,8,-7,2018-07-21 00:45:51+01,2018-07-21 01:05:05.7+01,26
184025,328,194,7,2018-07-21 02:15:51+01,2018-07-21 02:25:06.48+01,26
184294,328,16,11,2018-07-21 03:45:51+01,2018-07-21 03:55:06.06+01,26
184560,328,27,-4,2018-07-21 05:15:52+01,2018-07-21 05:25:06.2+01,26
184833,328,4,-15,2018-07-21 06:45:53+01,2018-07-21 06:55:06.62+01,26
