id,cow_id,collar_id,total_eating,total_rumination,total_other,observation_time,server_time,hour_complete,alert_processed,local_id
103763,200,268,0,1,33,2018-06-20 23:59:59+01,2018-06-21 00:25:08.704107+01,t,t,86
103812,200,268,0,7,33,2018-06-21 00:59:59+01,2018-06-21 00:55:09.573107+01,t,t,86
104042,200,268,21,2,18,2018-06-21 01:59:59+01,2018-06-21 01:55:11.195107+01,t,t,86
104220,200,268,0,3,38,2018-06-21 02:59:59+01,2018-06-21 02:55:09.890107+01,t,t,86
104422,200,268,0,0,40,2018-06-21 03:59:59+01,2018-06-21 03:55:06.599107+01,t,t,86
104652,200,268,17,0,24,2018-06-21 04:59:59+01,2018-06-21 04:55:10.214208+01,t,t,86
104863,200,268,0,5,36,2018-06-21 05:59:59+01,2018-06-21 05:55:10.811809+01,t,t,86
105085,200,268,0,22,18,2018-06-21 06:59:59+01,2018-06-21 06:55:10.963309+01,t,t,86
105282,200,268,0,15,26,2018-06-21 07:59:59+01,2018-06-21 07:55:11.002309+01,t,t,86
105555,200,268,3,21,17,2018-06-21 08:59:59+01,2018-06-21 09:05:09.046309+01,t,t,86
105767,200,268,0,23,18,2018-06-21 09:59:59+01,2018-06-21 10:05:08.734309+01,t,t,86
105962,200,268,0,10,30,2018-06-21 10:59:59+01,2018-06-21 11:05:08.566309+01,t,t,86
106212,200,268,19,9,13,2018-06-21 11:59:59+01,2018-06-21 12:05:11.735309+01,t,t,86
106463,200,268,28,8,5,2018-06-21 12:59:59+01,2018-06-21 13:10:09.587309+01,t,t,86
106669,200,268,26,0,14,2018-06-21 13:59:59+01,2018-06-21 14:10:09.053309+01,t,t,86
106766,200,268,4,0,37,2018-06-21 14:59:59+01,2018-06-21 15:00:12.333309+01,t,t,86
106972,200,268,0,6,35,2018-06-21 15:59:59+01,2018-06-21 16:00:11.188309+01,t,t,86
107180,200,268,14,7,19,2018-06-21 16:59:59+01,2018-06-21 17:00:10.041309+01,t,t,86
107375,200,268,39,0,2,2018-06-21 17:59:59+01,2018-06-21 18:00:11.805309+01,t,t,86
107547,200,268,31,1,9,2018-06-21 18:59:59+01,2018-06-21 19:00:08.389309+01,t,t,86
107780,200,268,0,3,37,2018-06-21 19:59:59+01,2018-06-21 20:00:10.318309+01,t,t,86
107993,200,268,0,10,31,2018-06-21 20:59:59+01,2018-06-21 21:00:11.319309+01,t,t,86
108219,200,268,0,23,18,2018-06-21 21:59:59+01,2018-06-21 22:00:10.982309+01,t,t,86
108391,200,268,39,0,1,2018-06-21 22:59:59+01,2018-06-21 23:00:08.984309+01,t,t,86
108715,200,268,11,0,30,2018-06-21 23:59:59+01,2018-06-22 00:10:08.717309+01,t,t,86
108914,200,268,0,0,41,2018-06-22 00:59:59+01,2018-06-22 01:10:08.524309+01,t,t,86
109131,200,268,0,20,20,2018-06-22 01:59:59+01,2018-06-22 02:10:08.972309+01,t,t,86
109324,200,268,5,12,24,2018-06-22 02:59:59+01,2018-06-22 03:10:10.471309+01,t,t,86
